noise,alpha,labelling,seed,balanced_accuracy,macro_f1,pr_auc
violet,1.0,binary,9,0.7263084975369458,0.5618556701030928,0.6561820345653788
violet,1.0,signed,9,0.704545609862774,0.6191852179468279,
violet,2.0,binary,0,0.5912439855653568,0.3984819734345351,0.505973980224202
violet,2.0,signed,0,0.5657352704766497,0.38720506411972977,
violet,2.0,binary,1,0.6220924887377034,0.4566929133858268,0.6031286037477469
violet,2.0,signed,1,0.6241964435719907,0.4706059972591921,
violet,2.0,binary,2,0.6595934139784947,0.455026455026455,0.5695914897214664
violet,2.0,signed,2,0.5980457415941287,0.5022825241493482,
violet,2.0,binary,3,0.5568126694250249,0.44481605351170567,0.6079516411965856
violet,2.0,signed,3,0.544672964386836,0.38711016103783025,
violet,2.0,binary,4,0.5604601484801792,0.3564356435643564,0.5302635021168934
violet,2.0,signed,4,0.4978585748131948,0.37629874085198906,
violet,2.0,binary,5,0.6475434234486622,0.42424242424242425,0.553740069591017
violet,2.0,signed,5,0.6467720425077078,0.4625524712759374,
violet,2.0,binary,6,0.5944663867867205,0.4827586206896552,0.578539252827186
violet,2.0,signed,6,0.5611019418664447,0.4484547897648252,
violet,2.0,binary,7,0.606267738883633,0.42916666666666664,0.5504370686886881
violet,2.0,signed,7,0.6186626195732157,0.4724819166767052,
violet,2.0,binary,8,0.5237491190979563,0.34408602150537637,0.3016638099144426
violet,2.0,signed,8,0.47038718927380746,0.22827522687254506,
violet,2.0,binary,9,0.6358220443349754,0.46190476190476193,0.5628700330210983
violet,2.0,signed,9,0.5963514615566855,0.4998314814269298,
violet,3.142,binary,0,0.5871591820368885,0.3945841392649903,0.35489457983121536
violet,3.142,signed,0,0.5447899801348077,0.38170182438733075,
violet,3.142,binary,1,0.6048159725414484,0.44642857142857145,0.5104230687587972
violet,3.142,signed,1,0.6124583194907093,0.42573537512393966,
violet,3.142,binary,2,0.6236475134408602,0.41688654353562005,0.5091680603212355
violet,3.142,signed,2,0.5453533026113672,0.4660464974089556,
violet,3.142,binary,3,0.49570552147239266,0.4056603773584906,0.4776067536370732
violet,3.142,signed,3,0.45881762521328917,0.30382920793195006,
violet,3.142,binary,4,0.53503641966662,0.34026465028355385,0.41322903943687195
violet,3.142,signed,4,0.46396026972844906,0.3296785533086903,
